geo,date,Unemp_Norm,Evict_Norm,Food_Norm,Shutoff_Norm,Attendance_Norm,FRL_Norm,BenefitUptake,OutreachIntensity,CommunityPartnerCoverage
Hennepin,2024-01-01,0.7109964135849572,0.34727592702596244,0.4329393364089316,0.24528639781312023,0.2751628016301826,0.5255458523309083,0.42115979770416706,0.5447769532396629,0.5991002038634143
Hennepin,2024-02-01,0.5927437181958547,0.4118877088661812,0.4031433599174714,0.2688577987813866,0.3401592875374236,0.4934275325244786,0.43776704063094646,0.49020211598365887,0.6258710966135893
Hennepin,2024-03-01,0.5810343707089617,0.4406622180768534,0.2990418094359498,0.2579421970296119,0.28300451999829973,0.6163163886320877,0.4338330589889555,0.5248241172488758,0.5370685932671861
Hennepin,2024-04-01,0.6922991200230151,0.5363297568645635,0.4244690437169915,0.3323488289083468,0.36853616183003524,0.6067574116780872,0.4360764987686377,0.529992993111099,0.573813014347172
Hennepin,2024-05-01,0.4655098660697118,0.36328686176722175,0.4506118588173461,0.20563789071913396,0.39858788107568277,0.5842657192677635,0.3734902470097592,0.4321358739196375,0.5741092276538966
Hennepin,2024-06-01,0.5788710241781049,0.5797517999852131,0.39763173008970015,0.2494891368583699,0.25010636276491655,0.5579486722596156,0.41906362128058194,0.461058513406096,0.5871165993801435
Hennepin,2024-07-01,0.3504333065621396,0.39529025712917604,0.37062020170604704,0.41298828512219055,0.3575147490514309,0.5895495230828257,0.4364678789009778,0.5226937468032645,0.563642723082556
Hennepin,2024-08-01,0.5795373222211815,0.41089924969912445,0.4193878230287017,0.40250529321156314,0.228227076411929,0.5809799852142657,0.3774411427290947,0.4560550112711038,0.6177241014415753
Hennepin,2024-09-01,0.46331607162717486,0.47681834804180895,0.5064012746272923,0.3075641841551227,0.38176244179308866,0.4571783459646826,0.42508553046402214,0.49885742270223077,0.6206093298441103
Hennepin,2024-10-01,0.4230218179358702,0.45606432211779385,0.3792183145108897,0.2412986506177554,0.35641693023743065,0.48292245087797203,0.44358706352159294,0.5723142366930111,0.613170371257132
Hennepin,2024-11-01,0.5228199301793892,0.27464011188332327,0.32661503238515255,0.21021525658763635,0.2539884134449871,0.5090627655280247,0.3577866636938586,0.4878561479744593,0.5851922675088729
Hennepin,2024-12-01,0.5073194687686573,0.3633433912395737,0.36079369217293844,0.29130060583834433,0.39717793844141197,0.5527498593028539,0.40309117653513765,0.4473953218711974,0.5962989377496021
Ramsey,2024-01-01,0.5828860408412263,0.3821295082962695,0.3735867230525452,0.33327717929255857,0.3422447245687359,0.6340280499037657,0.39545777078370864,0.4549626958255239,0.614519400637168
Ramsey,2024-02-01,0.6182179223458067,0.4377545810672342,0.40121414111382087,0.3102425136194687,0.28504834257047296,0.5507867540138971,0.41208949856042787,0.49821780910636204,0.614912205539191
Ramsey,2024-03-01,0.6247141120957279,0.4905253202329075,0.3982894414975121,0.2879919859062259,0.3968292452037944,0.5082007725147254,0.4132577215502309,0.5263296976620924,0.610056848416492
Ramsey,2024-04-01,0.6402692251558573,0.5251215545336229,0.39355411989722483,0.31311732376869506,0.32185842384731767,0.5013357842286907,0.4083273540107074,0.4683925300672387,0.5921416574195777
Ramsey,2024-05-01,0.5168003751408417,0.5063663349275846,0.5324981749274722,0.38945902409705585,0.35932854930852937,0.5031916974372577,0.35397134312996026,0.5108423223516815,0.5945143113957417
Ramsey,2024-06-01,0.4702002295172952,0.3470936135419377,0.4647863174277243,0.35850584998556345,0.32184443610813773,0.4211541751057238,0.39655529546258234,0.5526771904751052,0.6376599218562282
Ramsey,2024-07-01,0.5461735473782295,0.4760888053827965,0.3607028393452701,0.3883763496667102,0.3623089061392063,0.5206103255970881,0.42923288894850015,0.5769270320981102,0.6153653588646391
Ramsey,2024-08-01,0.31381536259300774,0.43543352458119994,0.3573539137634133,0.3571936319196021,0.3586920637566376,0.6052500556808805,0.38608043828778343,0.45193187658898537,0.6379610569778601
Ramsey,2024-09-01,0.33037800426168257,0.560983482353498,0.3148149426201172,0.3212212814447538,0.3222781393628237,0.5108638255194373,0.4582786208358194,0.5100623011191481,0.5348094042823912
Ramsey,2024-10-01,0.431325872251763,0.3999755501679108,0.3392737352321549,0.2743335649913297,0.3606967265204671,0.517729424368182,0.3946765405486493,0.49877968642213266,0.5787341724765955
Ramsey,2024-11-01,0.42513466894466234,0.5122644851090029,0.4931322212160041,0.29140824953266076,0.2777622922804782,0.6256469292405527,0.37401974466020826,0.45200056849856685,0.6248171790445394
Ramsey,2024-12-01,0.5509134720769382,0.5789434106565621,0.42591625795975324,0.41266513505968055,0.3401658880349255,0.6107017836293033,0.4242247523735921,0.5472477772081327,0.5868548610416433
